route_id,route_name,length_m,time_min,avg_vc,avg_risk,covered_demand,G_cost
R1,教学潮汐线,1243,5.8,0.178,204735,137300,0.5110
R2,校园环线,1661,7.6,0.172,184615,137300,0.6060
