route_id,route_name,route_type,stop_sequence,path_nodes,num_nodes,length_m,travel_time_min,avg_vc,max_vc,avg_risk
R1,教学潮汐线,潮汐线 桃园→16幢→25幢→杏园→桂苑,桃园站 → 16幢站 → 25幢站 → 杏园站 → 桂苑站,N4 → N14 → T_2 → N15 → T_16 → N16 → N30 → XYST → N29 → GYST → N32 → T_7...,23,1243,5.8,0.178,1.249,204735
R2,校园环线,环线 桂苑→桃园→16幢→25幢→杏园→桂苑,桂苑站 → 桃园站 → 16幢站 → 25幢站 → 杏园站 → 桂苑站,N28 → XYST → N30 → N16 → T_16 → N15 → T_2 → N14 → N4 → N14 → T_2 → N15...,31,1661,7.6,0.172,1.249,184615
