edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
65,J_19,J_20,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
66,J_19,J_49,80,8.0,1200.0,13.7,63.8,13.7,34.2,0.0285,A,1414.8
67,J_19,J_04,140,8.0,1200.0,25.8,28.0,5.6,16.6,0.0138,A,705.5
68,J_20,J_19,80,8.0,1200.0,1252.6,447.4,89.5,348.9,0.2908,A,480308.5
69,J_20,J_21,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
70,J_20,J_23,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
71,J_21,J_20,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
72,J_21,J_22,150,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
73,J_21,J_24,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
74,J_22,C_S,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
75,J_22,J_21,150,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
76,J_23,C_X,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
77,J_23,J_20,70,8.0,1200.0,1252.6,447.4,89.5,348.9,0.2908,A,480308.5
78,J_23,J_24,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
79,J_23,J_49,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
80,J_24,D_X,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
81,J_24,J_21,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
82,J_24,J_23,50,8.0,1200.0,1252.6,447.4,89.5,348.9,0.2908,A,480308.5
83,J_24,J_25,150,8.0,1200.0,28.6,133.4,28.6,71.5,0.0596,A,6183.0
84,J_25,J_24,150,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
85,J_25,J_26,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
86,J_25,J_28,70,8.0,1200.0,28.6,133.4,28.6,71.5,0.0596,A,6183.0
87,J_26,J_49,120,8.0,1200.0,726.4,1388.0,264.4,753.5,0.6279,C,1085890.3
88,J_26,J_25,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
89,J_26,J_27,80,8.0,1200.0,13.7,63.8,13.7,34.2,0.0285,A,1414.8
90,J_27,J_28,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
91,J_27,J_26,80,8.0,1200.0,726.4,1388.0,264.4,753.5,0.6279,C,1085890.3
92,J_27,J_30,50,8.0,1200.0,13.7,63.8,13.7,34.2,0.0285,A,1414.8
93,J_28,J_25,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
94,J_28,J_27,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
95,J_28,J_29,50,8.0,1200.0,28.6,133.4,28.6,71.5,0.0596,A,6183.0
96,J_29,J_28,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
97,J_29,J_30,90,8.0,1200.0,731.1,1391.8,266.3,757.0,0.6308,C,1097333.7
98,J_29,D_C,40,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
99,J_29,J_39,110,8.0,1200.0,161.5,345.8,66.0,185.9,0.1549,A,62163.2
100,J_30,C_G,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
101,J_30,J_27,50,8.0,1200.0,726.4,1388.0,264.4,753.5,0.6279,C,1085890.3
102,J_30,J_29,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
103,J_30,J_40,100,8.0,1200.0,18.3,67.6,15.6,37.7,0.0314,A,1889.2
104,J_31,D_C,20,5.0,600.0,297.0,713.2,141.7,385.4,0.6423,C,249898.8
