from,to,flow_pcu,capacity,V/C,travel_time_s,free_time_s
J_27,J_28,0.0,1200,0.0,19.8,19.8
J_28,J_27,0.0,1200,0.0,19.8,19.8
J_29,D_C,0.0,600,0.0,7.2,7.2
J_30,C_G,0.0,600,0.0,0.9,0.9
J_30,J_29,0.0,1200,0.0,16.2,16.2
J_31,J_32,0.0,1200,0.0,16.2,16.2
J_32,J_33,0.0,1200,0.0,12.6,12.6
J_33,J_34,0.0,1200,0.0,14.4,14.4
J_34,D_G,0.0,600,0.0,0.9,0.9
J_35,J_34,0.0,1200,0.0,18.0,18.0
J_36,J_35,0.0,1200,0.0,10.8,10.8
J_37,J_36,0.0,1200,0.0,5.4,5.4
J_37,J_42,0.0,1200,0.0,25.2,25.2
J_38,J_37,0.0,1200,0.0,39.6,39.6
J_38,J_43,0.0,1200,0.0,21.6,21.6
J_39,J_29,0.0,1200,0.0,19.8,19.8
J_39,J_42,0.0,1200,0.0,21.6,21.6
J_40,J_30,0.0,1200,0.0,18.0,18.0
J_40,J_39,0.0,1200,0.0,14.4,14.4
J_41,J_40,0.0,1200,0.0,10.8,10.8
J_41,J_43,0.0,1200,0.0,14.4,14.4
J_42,J_43,0.0,1200,0.0,14.4,14.4
J_42,J_39,0.0,1200,0.0,21.6,21.6
J_42,J_37,0.0,1200,0.0,25.2,25.2
J_43,J_41,0.0,1200,0.0,14.4,14.4
J_43,J_42,0.0,1200,0.0,14.4,14.4
J_43,J_38,0.0,1200,0.0,21.6,21.6
J_44,J_41,0.0,1200,0.0,19.8,19.8
J_45,J_46,0.0,1200,0.0,7.2,7.2
J_46,J_44,0.0,1200,0.0,30.6,30.6
J_47,J_45,0.0,1200,0.0,27.3,27.3
J_47,J_48,0.0,1200,0.0,19.8,19.8
J_48,J_38,0.0,1200,0.0,36.0,36.0
J_49,J_23,0.0,1200,0.0,18.0,18.0
