edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
65,J_19,J_20,80,8.0,1200.0,1034.4,505.6,97.9,353.0,0.2942,A,452996.7
66,J_19,J_49,80,8.0,1200.0,103.0,161.8,29.4,88.3,0.0736,A,16685.9
67,J_19,J_04,140,8.0,1200.0,44.8,209.2,44.8,112.1,0.0934,A,15202.3
68,J_20,J_19,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
69,J_20,J_21,60,8.0,1200.0,440.7,293.6,55.5,187.6,0.1564,A,114407.5
70,J_20,J_23,70,8.0,1200.0,593.7,212.0,42.4,165.4,0.1378,A,107895.9
71,J_21,J_20,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
72,J_21,J_22,150,8.0,1200.0,500.6,573.3,115.5,337.5,0.2813,A,283150.9
73,J_21,J_24,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
74,J_22,C_S,5,6.0,600.0,500.6,573.3,115.5,337.5,0.5625,C,283150.9
75,J_22,J_21,150,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
76,J_23,C_X,5,6.0,600.0,721.2,412.4,78.8,274.7,0.4578,B,259981.3
77,J_23,J_20,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
78,J_23,J_24,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
79,J_23,J_49,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
80,J_24,D_X,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
81,J_24,J_21,70,8.0,1200.0,59.9,279.7,59.9,149.9,0.1249,A,27190.6
82,J_24,J_23,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
83,J_24,J_25,150,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
84,J_25,J_24,150,8.0,1200.0,59.9,279.7,59.9,149.9,0.1249,A,27190.6
85,J_25,J_26,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
86,J_25,J_28,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
87,J_26,J_49,120,8.0,1200.0,172.3,409.5,81.2,221.3,0.1844,A,82902.4
88,J_26,J_25,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
89,J_26,J_27,80,8.0,1200.0,103.0,161.8,29.4,88.3,0.0736,A,16685.9
90,J_27,J_28,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
91,J_27,J_26,80,8.0,1200.0,172.3,409.5,81.2,221.3,0.1844,A,82902.4
92,J_27,J_30,50,8.0,1200.0,103.0,161.8,29.4,88.3,0.0736,A,16685.9
93,J_28,J_25,70,8.0,1200.0,59.9,279.7,59.9,149.9,0.1249,A,27190.6
94,J_28,J_27,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
95,J_28,J_29,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
96,J_29,J_28,50,8.0,1200.0,59.9,279.7,59.9,149.9,0.1249,A,27190.6
97,J_29,J_30,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
98,J_29,D_C,40,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
99,J_29,J_39,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
100,J_30,C_G,5,6.0,600.0,256.0,402.3,73.2,219.5,0.3658,B,103139.8
101,J_30,J_27,50,8.0,1200.0,172.3,409.5,81.2,221.3,0.1844,A,82902.4
102,J_30,J_29,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
103,J_30,J_40,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
104,J_31,D_C,20,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
105,J_31,J_32,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
106,J_32,J_31,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
107,J_32,J_33,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
108,J_33,J_32,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
109,J_33,J_34,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
110,J_34,D_G,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
111,J_34,J_33,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
112,J_34,J_35,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
113,J_35,J_34,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
114,J_35,J_36,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
115,J_36,J_35,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
116,J_36,J_37,30,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
117,J_37,J_36,30,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
118,J_37,J_38,220,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
119,J_37,J_42,140,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
120,J_38,J_37,220,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
121,J_38,J_43,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
122,J_38,J_48,200,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
123,J_39,J_29,110,8.0,1200.0,59.9,279.7,59.9,149.9,0.1249,A,27190.6
124,J_39,J_40,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
125,J_39,J_42,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
126,J_40,J_30,100,8.0,1200.0,325.4,650.0,125.0,352.5,0.2938,A,231731.5
127,J_40,J_39,80,8.0,1200.0,59.9,279.7,59.9,149.9,0.1249,A,27190.6
128,J_40,J_41,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
