edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
67,N17,N24,89,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
68,N18,N16,221,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
69,N18,N19,208,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
70,N18,N25,196,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
71,N18,N45,278,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
72,N18,N20,130,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
73,N18,T_1,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
74,N19,N18,208,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
75,N19,N20,78,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
76,N20,N19,78,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
77,N20,N18,130,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
78,N20,N21,187,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
79,N20,T_1,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
80,N21,N20,187,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
81,N21,N22,47,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
82,N22,N21,47,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
83,N22,N24,101,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
84,N22,N23,94,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
85,N22,T_1,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
86,N23,N17,98,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
87,N23,N22,94,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
88,N24,N22,101,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
89,N24,N17,89,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
90,N24,N25,24,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
91,N24,N27,67,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
92,N24,T_1,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
93,N25,N18,196,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
94,N25,N24,24,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
95,N25,N26,35,8.0,800.0,383.7,351.1,65.2,208.9,0.2611,A,123189.4
96,N25,T_1,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
97,N26,N6,113,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
98,N26,N25,35,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
99,N26,N27,25,8.0,800.0,383.7,351.1,65.2,208.9,0.2611,A,123189.4
100,N27,N15,184,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
101,N27,N24,67,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
102,N27,N26,25,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
103,N27,T_2,50,99.0,9999.0,383.7,351.1,65.2,208.9,0.0209,A,123189.4
104,N28,N12,292,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
105,N28,N29,96,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
106,N28,N31,283,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
107,N28,N44,210,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
108,N28,XYST,50,99.0,9999.0,809.2,947.9,174.1,539.3,0.0539,A,726798.2
109,N28,GYST,50,99.0,9999.0,161.7,152.7,28.3,90.3,0.0090,A,22662.4
110,N28,CYGY,50,99.0,9999.0,302.0,130.9,25.6,95.1,0.0095,A,34069.5
111,N29,N28,96,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
112,N29,N30,280,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
113,N29,N43,212,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
114,N29,N44,115,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
115,N29,XYST,50,99.0,9999.0,1127.1,1052.2,195.2,623.5,0.0624,A,1087174.3
116,N29,GYST,50,99.0,9999.0,275.6,231.9,43.2,140.4,0.0140,A,57868.6
117,N30,N16,85,8.0,800.0,335.3,526.8,95.8,287.4,0.3592,B,176853.1
118,N30,N29,280,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
119,N30,N12,140,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
120,N30,N63,140,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
121,N30,XYST,50,99.0,9999.0,2540.4,1452.6,277.7,967.5,0.0968,A,3225979.3
122,N31,N28,283,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
123,N31,N32,71,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
124,N31,N33,135,12.0,1200.0,286.9,403.7,73.7,223.5,0.1862,A,113409.4
