方案,TTT合计,η_TTT,S合计,η_S,avgV/C,η_VC,maxV/C
基准（现状）,3852725,+0.0%,34697868,+0.0%,0.082,+0.0%,1.452
方案A：关键桥梁单行线,3263359,+15.3%,21754602,+37.3%,0.069,+16.6%,1.270
方案B：午高峰食堂区限行,3853081,-0.0%,34697868,+0.0%,0.083,-0.8%,1.452
方案C：综合优化,3263714,+15.3%,17167100,+50.5%,0.069,+15.8%,1.270
