u,v,width,capacity,baseline_vc,optimized_vc,delta_vc,reduction_pct
N26,N27,8.0,800.0,0.0,0.0,0.0,0.0
N27,N15,8.0,800.0,0.0,0.0,0.0,0.0
N27,N24,6.0,600.0,0.0,0.0315,0.0315,0.0
N27,N26,8.0,800.0,0.2374,0.2441,0.0067,-2.84
N27,T_2,99.0,9999.0,0.0,0.0,0.0,0.0
N28,N12,8.0,800.0,0.0,0.0,0.0,0.0
N28,N29,8.0,800.0,0.0,0.0147,0.0147,0.0
N28,N31,12.0,1200.0,0.0,0.0,0.0,0.0
N28,N44,6.0,600.0,0.0263,0.0223,-0.004,15.3
N28,XYST,99.0,9999.0,0.0332,0.0251,-0.0081,24.46
N28,GYST,99.0,9999.0,0.067,0.0563,-0.0107,15.91
N28,CYGY,99.0,9999.0,0.0,0.0,0.0,0.0
N29,N28,8.0,800.0,0.0,0.0,0.0,0.0
N29,N30,6.0,600.0,0.0,0.0,0.0,0.0
N29,N43,8.0,800.0,0.0,0.0,0.0,0.0
N29,N44,6.0,600.0,0.3044,0.268,-0.0364,11.94
N29,XYST,99.0,9999.0,0.0127,0.0174,0.0047,-36.87
N29,GYST,99.0,9999.0,0.0366,0.0472,0.0106,-29.04
N30,N16,8.0,800.0,0.9669,0.5493,-0.4176,43.19
N30,N29,6.0,600.0,0.0,0.0,0.0,0.0
N30,N12,12.0,1200.0,0.0,0.0,0.0,0.0
N30,N63,6.0,600.0,0.0,0.0,0.0,0.0
N30,XYST,99.0,9999.0,0.0737,0.0389,-0.0348,47.25
N31,N28,12.0,1200.0,0.0,0.0,0.0,0.0
N31,N32,6.0,600.0,0.2317,0.0,-0.2317,100.0
N31,N33,12.0,1200.0,0.0,0.0,0.0,0.0
N31,GYST,99.0,9999.0,0.0365,0.0365,-0.0,0.13
N32,N31,6.0,600.0,0.0,0.0,0.0,0.0
N32,N43,8.0,800.0,0.0,0.0,0.0,0.0
N32,N46,8.0,800.0,0.0,0.0,0.0,0.0
N32,GYST,99.0,9999.0,0.0,0.0,0.0,0.0
N32,T_7,99.0,9999.0,0.1175,0.1036,-0.0139,11.86
N33,N31,12.0,1200.0,0.4196,0.3038,-0.1158,27.61
N33,N34,12.0,1200.0,0.0,0.0,0.0,0.0
N33,N46,12.0,1200.0,0.0748,0.1907,0.1159,-154.93
N33,N61,8.0,800.0,0.0,0.0,0.0,0.0
N33,N60,8.0,800.0,0.0,0.0,0.0,0.0
N34,N33,12.0,1200.0,0.0,0.0,0.0,0.0
N34,N35,12.0,1200.0,0.0,0.0,0.0,0.0
N34,N58,6.0,600.0,0.0,0.0,0.0,0.0
N35,N34,12.0,1200.0,0.0,0.0,0.0,0.0
N35,N37,12.0,1200.0,0.0,0.0,0.0,0.0
N35,N57,6.0,600.0,0.0,0.0,0.0,0.0
N35,N36,6.0,600.0,0.0,0.0,0.0,0.0
N36,N35,6.0,600.0,0.0,0.0,0.0,0.0
N36,N37,6.0,600.0,0.0,0.0,0.0,0.0
N36,N38,6.0,600.0,0.0,0.0,0.0,0.0
N37,N35,12.0,1200.0,0.0,0.0,0.0,0.0
N37,N36,6.0,600.0,0.0,0.0,0.0,0.0
N37,N38,8.0,800.0,0.0,0.0,0.0,0.0
N37,N47,12.0,1200.0,0.0,0.0,0.0,0.0
N37,N52,8.0,800.0,0.0,0.0,0.0,0.0
N37,T_9,99.0,9999.0,0.0,0.0,0.0,0.0
N38,N36,6.0,600.0,0.0,0.0,0.0,0.0
N38,N37,8.0,800.0,0.0,0.0,0.0,0.0
N38,N48,6.0,600.0,0.0,0.0,0.0,0.0
N38,N39,8.0,800.0,0.0,0.0,0.0,0.0
N38,N50,6.0,600.0,0.0,0.0,0.0,0.0
N38,T_25,99.0,9999.0,0.0,0.0018,0.0018,0.0
N38,T_9,99.0,9999.0,0.0,0.0,0.0,0.0
N38,T_10,99.0,9999.0,0.0227,0.0227,-0.0,0.08
N39,N38,8.0,800.0,0.0,0.0,0.0,0.0
N39,N40,6.0,600.0,0.0,0.0,0.0,0.0
N39,N41,8.0,800.0,0.0,0.0,0.0,0.0
N39,N48,6.0,600.0,0.0,0.0,0.0,0.0
N39,T_25,99.0,9999.0,0.0,0.0287,0.0287,0.0
N40,N39,6.0,600.0,0.0,0.3649,0.3649,0.0
N40,N41,6.0,600.0,0.0,0.0,0.0,0.0
N40,N49,6.0,600.0,0.0,0.0,0.0,0.0
N40,T_8,99.0,9999.0,0.0,0.0,0.0,0.0
N41,N39,8.0,800.0,0.0,0.0847,0.0847,0.0
N41,N40,6.0,600.0,0.0,0.0,0.0,0.0
N41,N42,8.0,800.0,0.0,0.0,0.0,0.0
N41,N45,6.0,600.0,0.0,0.0,0.0,0.0
N41,T_8,99.0,9999.0,0.0,0.0,0.0,0.0
N42,N41,8.0,800.0,0.0,0.0,0.0,0.0
N42,N43,8.0,800.0,0.0,0.0,0.0,0.0
N42,N44,8.0,800.0,0.0,0.0,0.0,0.0
N42,N49,6.0,600.0,0.0,0.0,0.0,0.0
N42,T_7,99.0,9999.0,0.0,0.0,0.0,0.0
N42,T_8,99.0,9999.0,0.0198,0.0424,0.0226,-113.92
N43,N42,8.0,800.0,0.0,0.0,0.0,0.0
N43,N29,8.0,800.0,0.0,0.0,0.0,0.0
N43,N32,8.0,800.0,0.0,0.0,0.0,0.0
N43,T_7,99.0,9999.0,0.0,0.0,0.0,0.0
N44,N28,6.0,600.0,0.0,0.0,0.0,0.0
N44,N42,8.0,800.0,0.0,0.0,0.0,0.0
N44,N29,6.0,600.0,0.0,0.0,0.0,0.0
N44,N45,8.0,800.0,0.0,0.0,0.0,0.0
N44,T_6,99.0,9999.0,0.0198,0.0174,-0.0024,12.02
N45,N18,8.0,800.0,0.0,0.054,0.054,0.0
N45,N41,6.0,600.0,0.0,0.0,0.0,0.0
N45,N44,8.0,800.0,0.0,0.0,0.0,0.0
N45,T_6,99.0,9999.0,0.0,0.0067,0.0067,0.0
N46,N33,12.0,1200.0,0.0,0.0,0.0,0.0
N46,N32,8.0,800.0,0.0,0.0,0.0,0.0
N46,N47,12.0,1200.0,0.0,0.1275,0.1275,0.0
N46,N49,12.0,1200.0,0.0,0.0,0.0,0.0
N46,T_7,99.0,9999.0,0.009,0.0157,0.0067,-74.27
N47,N37,12.0,1200.0,0.0,0.0,0.0,0.0
N47,N46,12.0,1200.0,0.0,0.0,0.0,0.0
N47,N48,12.0,1200.0,0.0,0.0,0.0,0.0
N47,T_9,99.0,9999.0,0.0,0.0153,0.0153,0.0
N48,N38,6.0,600.0,0.0,0.0,0.0,0.0
N48,N39,6.0,600.0,0.0,0.0,0.0,0.0
N48,N47,12.0,1200.0,0.0,0.0,0.0,0.0
N48,N49,12.0,1200.0,0.0,0.0,0.0,0.0
N48,T_25,99.0,9999.0,0.0574,0.0202,-0.0372,64.83
N48,T_9,99.0,9999.0,0.0307,0.024,-0.0067,21.77
N49,N42,6.0,600.0,0.0,0.0,0.0,0.0
N49,N46,12.0,1200.0,0.0,0.0,0.0,0.0
N49,N40,6.0,600.0,0.0,0.0,0.0,0.0
N49,N48,12.0,1200.0,0.7347,0.3683,-0.3664,49.87
N49,T_7,99.0,9999.0,0.0,0.0,0.0,0.0
N49,T_8,99.0,9999.0,0.0,0.0062,0.0062,0.0
N50,N38,6.0,600.0,0.0,0.0,0.0,0.0
N50,N52,6.0,600.0,0.0,0.0,0.0,0.0
N50,T_10,99.0,9999.0,0.0,0.0,0.0,0.0
N51,N52,6.0,600.0,0.0,0.0,0.0,0.0
N52,N37,8.0,800.0,0.0,0.0,0.0,0.0
N52,N50,6.0,600.0,0.0,0.0,0.0,0.0
N52,N51,6.0,600.0,0.0,0.0,0.0,0.0
N52,N53,8.0,800.0,0.0,0.0,0.0,0.0
N53,N52,8.0,800.0,0.0,0.0,0.0,0.0
N53,N54,8.0,800.0,0.0,0.0,0.0,0.0
N53,N57,6.0,600.0,0.0,0.0,0.0,0.0
N54,N53,8.0,800.0,0.0,0.0,0.0,0.0
N54,N55,8.0,800.0,0.0,0.0,0.0,0.0
N55,N54,8.0,800.0,0.0,0.0,0.0,0.0
N55,N58,8.0,800.0,0.0,0.0,0.0,0.0
N55,N56,6.0,600.0,0.0,0.0,0.0,0.0
N56,N55,6.0,600.0,0.0,0.0,0.0,0.0
N56,N57,6.0,600.0,0.0,0.0,0.0,0.0
N57,N35,6.0,600.0,0.0,0.0,0.0,0.0
N57,N56,6.0,600.0,0.0,0.0,0.0,0.0
N57,N53,6.0,600.0,0.0,0.0,0.0,0.0
N58,N34,6.0,600.0,0.0,0.0,0.0,0.0
N58,N55,8.0,800.0,0.0,0.0,0.0,0.0
N58,N59,8.0,800.0,0.0,0.0,0.0,0.0
N59,N58,8.0,800.0,0.0,0.0,0.0,0.0
N59,N61,8.0,800.0,0.0,0.0,0.0,0.0
N59,N62,6.0,600.0,0.0,0.0,0.0,0.0
N60,N33,8.0,800.0,0.291,0.3708,0.0798,-27.43
N60,N61,8.0,800.0,0.0,0.0,0.0,0.0
N61,N33,8.0,800.0,0.4506,0.3708,-0.0798,17.7
N61,N59,8.0,800.0,0.0,0.0,0.0,0.0
N61,N60,8.0,800.0,0.291,0.3708,0.0798,-27.43
N61,N62,6.0,600.0,0.0,0.0,0.0,0.0
N61,GYGY,99.0,9999.0,0.0,0.0,0.0,0.0
N62,N59,6.0,600.0,0.0,0.0,0.0,0.0
N62,N61,6.0,600.0,0.0,0.0,0.0,0.0
N62,GYGY,99.0,9999.0,0.0,0.0,0.0,0.0
N63,N30,6.0,600.0,0.0,0.0,0.0,0.0
N63,N64,6.0,600.0,0.0,0.0,0.0,0.0
N64,N63,6.0,600.0,0.0,0.0,0.0,0.0
SYJ,N13,99.0,9999.0,0.0,0.0,0.0,0.0
TYGY,N3,99.0,9999.0,0.0068,0.0087,0.0019,-28.06
TYGY,N4,99.0,9999.0,0.1216,0.1048,-0.0168,13.84
TYGY,N7,99.0,9999.0,0.0,0.0169,0.0169,0.0
TYST,N14,99.0,9999.0,0.0,0.0,0.0,0.0
XYST,N30,99.0,9999.0,0.0774,0.0439,-0.0335,43.22
XYST,N12,99.0,9999.0,0.0,0.0116,0.0116,0.0
XYST,N28,99.0,9999.0,0.0567,0.046,-0.0107,18.85
XYST,N29,99.0,9999.0,0.0508,0.0556,0.0048,-9.43
XYGY,N13,99.0,9999.0,0.0,0.0,0.0,0.0
XYGY,N12,99.0,9999.0,0.0652,0.0652,0.0,-0.02
GYST,N28,99.0,9999.0,0.0197,0.0125,-0.0072,36.43
GYST,N29,99.0,9999.0,0.0168,0.0239,0.0071,-42.44
GYST,N31,99.0,9999.0,0.0,0.0,0.0,0.0
GYST,N32,99.0,9999.0,0.1036,0.1036,-0.0,0.03
CYGY,N28,99.0,9999.0,0.0254,0.0254,-0.0,0.02
GYGY,N61,99.0,9999.0,0.0593,0.0593,0.0,-0.06
GYGY,N62,99.0,9999.0,0.0,0.0,0.0,0.0
T_16,N15,99.0,9999.0,0.0401,0.0171,-0.023,57.39
T_16,N16,99.0,9999.0,0.0806,0.0475,-0.0331,41.04
T_25,N48,99.0,9999.0,0.0,0.0,0.0,0.0
T_25,N39,99.0,9999.0,0.0,0.0,0.0,0.0
T_25,N38,99.0,9999.0,0.0138,0.007,-0.0068,49.32
T_1,N25,99.0,9999.0,0.0,0.0,0.0,0.0
T_1,N24,99.0,9999.0,0.0,0.0,0.0,0.0
T_1,N22,99.0,9999.0,0.0,0.0,0.0,0.0
T_1,N18,99.0,9999.0,0.0,0.0067,0.0067,0.0
T_1,N20,99.0,9999.0,0.0,0.0,0.0,0.0
T_2,N14,99.0,9999.0,0.0093,0.007,-0.0023,24.87
T_2,N15,99.0,9999.0,0.1011,0.0775,-0.0236,23.36
T_2,N6,99.0,9999.0,0.0093,0.0075,-0.0018,19.86
T_2,N27,99.0,9999.0,0.019,0.0214,0.0024,-12.75
T_3,N3,99.0,9999.0,0.0,0.0,0.0,0.0
T_3,N4,99.0,9999.0,0.0,0.0,0.0,0.0
T_3,N5,99.0,9999.0,0.0,0.0,0.0,0.0
T_3,N2,99.0,9999.0,0.0,0.0,0.0,0.0
T_4,N4,99.0,9999.0,0.0,0.0,0.0,0.0
T_4,N14,99.0,9999.0,0.0399,0.0826,0.0427,-107.14
T_5,N16,99.0,9999.0,0.0,0.0,0.0,0.0
T_6,N44,99.0,9999.0,0.0,0.0,0.0,0.0
T_6,N45,99.0,9999.0,0.0,0.0043,0.0043,0.0
T_7,N42,99.0,9999.0,0.0198,0.0424,0.0226,-113.92
T_7,N43,99.0,9999.0,0.0,0.0,0.0,0.0
T_7,N32,99.0,9999.0,0.0,0.0,0.0,0.0
T_7,N46,99.0,9999.0,0.0,0.0081,0.0081,0.0
T_7,N49,99.0,9999.0,0.0882,0.0504,-0.0378,42.9
T_8,N42,99.0,9999.0,0.0,0.0,0.0,0.0
T_8,N41,99.0,9999.0,0.0,0.0068,0.0068,0.0
T_8,N49,99.0,9999.0,0.0,0.0,0.0,0.0
T_8,N40,99.0,9999.0,0.0,0.0219,0.0219,0.0
T_9,N47,99.0,9999.0,0.0,0.0,0.0,0.0
T_9,N37,99.0,9999.0,0.0,0.0,0.0,0.0
T_9,N38,99.0,9999.0,0.0089,0.0175,0.0086,-96.51
T_9,N48,99.0,9999.0,0.0,0.0,0.0,0.0
T_10,N38,99.0,9999.0,0.0,0.0,0.0,0.0
T_10,N50,99.0,9999.0,0.0,0.0,0.0,0.0
