u,v,width,capacity,baseline_vc,optimized_vc,delta_vc,reduction_pct
N26,N27,8.0,800.0,0.3044,0.2091,-0.0953,31.31
N27,N15,8.0,800.0,0.0,0.0,0.0,0.0
N27,N24,6.0,600.0,0.0,0.0,0.0,0.0
N27,N26,8.0,800.0,0.0,0.0332,0.0332,0.0
N27,T_2,99.0,9999.0,0.0244,0.0167,-0.0077,31.44
N28,N12,8.0,800.0,0.0,0.0,0.0,0.0
N28,N29,8.0,800.0,0.0,0.0,0.0,0.0
N28,N31,12.0,1200.0,0.0,0.0,0.0,0.0
N28,N44,6.0,600.0,0.0,0.0,0.0,0.0
N28,XYST,99.0,9999.0,0.0712,0.0708,-0.0004,0.57
N28,GYST,99.0,9999.0,0.0142,0.0128,-0.0014,10.2
N28,CYGY,99.0,9999.0,0.0126,0.0126,-0.0,0.29
N29,N28,8.0,800.0,0.0,0.0058,0.0058,0.0
N29,N30,6.0,600.0,0.0,0.0,0.0,0.0
N29,N43,8.0,800.0,0.0,0.0,0.0,0.0
N29,N44,6.0,600.0,0.0,0.0,0.0,0.0
N29,XYST,99.0,9999.0,0.0658,0.0756,0.0098,-14.84
N29,GYST,99.0,9999.0,0.0135,0.0146,0.0011,-8.08
N30,N16,8.0,800.0,0.463,0.3821,-0.0809,17.48
N30,N29,6.0,600.0,0.0,0.0,0.0,0.0
N30,N12,12.0,1200.0,0.0,0.0,0.0,0.0
N30,N63,6.0,600.0,0.0,0.0,0.0,0.0
N30,XYST,99.0,9999.0,0.1128,0.0506,-0.0622,55.12
N31,N28,12.0,1200.0,0.0,0.0,0.0,0.0
N31,N32,6.0,600.0,0.0,0.0,0.0,0.0
N31,N33,12.0,1200.0,0.2458,0.1598,-0.086,35.01
N31,GYST,99.0,9999.0,0.0,0.0,0.0,0.0
N32,N31,6.0,600.0,0.1667,0.0,-0.1667,100.0
N32,N43,8.0,800.0,0.0,0.0,0.0,0.0
N32,N46,8.0,800.0,0.0,0.0,0.0,0.0
N32,GYST,99.0,9999.0,0.1389,0.1389,0.0,-0.02
N32,T_7,99.0,9999.0,0.0,0.0,0.0,0.0
N33,N31,12.0,1200.0,0.0,0.0,0.0,0.0
N33,N34,12.0,1200.0,0.0,0.0,0.0,0.0
N33,N46,12.0,1200.0,0.0,0.0,0.0,0.0
N33,N61,8.0,800.0,0.2796,0.1846,-0.095,33.96
N33,N60,8.0,800.0,0.0891,0.1841,0.095,-106.59
N34,N33,12.0,1200.0,0.0,0.0,0.0,0.0
N34,N35,12.0,1200.0,0.0,0.0,0.0,0.0
N34,N58,6.0,600.0,0.0,0.0,0.0,0.0
N35,N34,12.0,1200.0,0.0,0.0,0.0,0.0
N35,N37,12.0,1200.0,0.0,0.0,0.0,0.0
N35,N57,6.0,600.0,0.0,0.0,0.0,0.0
N35,N36,6.0,600.0,0.0,0.0,0.0,0.0
N36,N35,6.0,600.0,0.0,0.0,0.0,0.0
N36,N37,6.0,600.0,0.0,0.0,0.0,0.0
N36,N38,6.0,600.0,0.0,0.0,0.0,0.0
N37,N35,12.0,1200.0,0.0,0.0,0.0,0.0
N37,N36,6.0,600.0,0.0,0.0,0.0,0.0
N37,N38,8.0,800.0,0.0,0.0,0.0,0.0
N37,N47,12.0,1200.0,0.0,0.0,0.0,0.0
N37,N52,8.0,800.0,0.0,0.0,0.0,0.0
N37,T_9,99.0,9999.0,0.0,0.0,0.0,0.0
N38,N36,6.0,600.0,0.0,0.0,0.0,0.0
N38,N37,8.0,800.0,0.0,0.0,0.0,0.0
N38,N48,6.0,600.0,0.0,0.0,0.0,0.0
N38,N39,8.0,800.0,0.0,0.0,0.0,0.0
N38,N50,6.0,600.0,0.0,0.0,0.0,0.0
N38,T_25,99.0,9999.0,0.0159,0.0077,-0.0082,51.79
N38,T_9,99.0,9999.0,0.0111,0.0205,0.0094,-84.89
N38,T_10,99.0,9999.0,0.0,0.0,0.0,0.0
N39,N38,8.0,800.0,0.0,0.0,0.0,0.0
N39,N40,6.0,600.0,0.0,0.3772,0.3772,0.0
N39,N41,8.0,800.0,0.0,0.1851,0.1851,0.0
N39,N48,6.0,600.0,0.0,0.0,0.0,0.0
N39,T_25,99.0,9999.0,0.0,0.0,0.0,0.0
N40,N39,6.0,600.0,0.0,0.0,0.0,0.0
N40,N41,6.0,600.0,0.0,0.0,0.0,0.0
N40,N49,6.0,600.0,0.0,0.0,0.0,0.0
N40,T_8,99.0,9999.0,0.0,0.0226,0.0226,0.0
N41,N39,8.0,800.0,0.0,0.0,0.0,0.0
N41,N40,6.0,600.0,0.0,0.0,0.0,0.0
N41,N42,8.0,800.0,0.0,0.0,0.0,0.0
N41,N45,6.0,600.0,0.0,0.0,0.0,0.0
N41,T_8,99.0,9999.0,0.0,0.0148,0.0148,0.0
N42,N41,8.0,800.0,0.0,0.0,0.0,0.0
N42,N43,8.0,800.0,0.0,0.0,0.0,0.0
N42,N44,8.0,800.0,0.0,0.0,0.0,0.0
N42,N49,6.0,600.0,0.0,0.0,0.0,0.0
N42,T_7,99.0,9999.0,0.0245,0.0492,0.0247,-100.64
N42,T_8,99.0,9999.0,0.0,0.0,0.0,0.0
N43,N42,8.0,800.0,0.0,0.0,0.0,0.0
N43,N29,8.0,800.0,0.0,0.0,0.0,0.0
N43,N32,8.0,800.0,0.0,0.0,0.0,0.0
N43,T_7,99.0,9999.0,0.0,0.0,0.0,0.0
N44,N28,6.0,600.0,0.0115,0.2626,0.2511,-2183.61
N44,N42,8.0,800.0,0.0,0.0041,0.0041,0.0
N44,N29,6.0,600.0,0.3314,0.3884,0.057,-17.2
N44,N45,8.0,800.0,0.0,0.0,0.0,0.0
N44,T_6,99.0,9999.0,0.0,0.0,0.0,0.0
N45,N18,8.0,800.0,0.0,0.0243,0.0243,0.0
N45,N41,6.0,600.0,0.0,0.0,0.0,0.0
N45,N44,8.0,800.0,0.0,0.0,0.0,0.0
N45,T_6,99.0,9999.0,0.0,0.0208,0.0208,0.0
N46,N33,12.0,1200.0,0.0,0.0861,0.0861,0.0
N46,N32,8.0,800.0,0.0,0.0,0.0,0.0
N46,N47,12.0,1200.0,0.0,0.0,0.0,0.0
N46,N49,12.0,1200.0,0.0,0.0,0.0,0.0
N46,T_7,99.0,9999.0,0.0,0.018,0.018,0.0
N47,N37,12.0,1200.0,0.0,0.0,0.0,0.0
N47,N46,12.0,1200.0,0.0,0.18,0.18,0.0
N47,N48,12.0,1200.0,0.0,0.0,0.0,0.0
N47,T_9,99.0,9999.0,0.0,0.0,0.0,0.0
N48,N38,6.0,600.0,0.0,0.0,0.0,0.0
N48,N39,6.0,600.0,0.0,0.0,0.0,0.0
N48,N47,12.0,1200.0,0.0,0.0,0.0,0.0
N48,N49,12.0,1200.0,0.868,0.3759,-0.4921,56.69
N48,T_25,99.0,9999.0,0.0,0.0,0.0,0.0
N48,T_9,99.0,9999.0,0.0,0.0,0.0,0.0
N49,N42,6.0,600.0,0.0,0.0,0.0,0.0
N49,N46,12.0,1200.0,0.0,0.0,0.0,0.0
N49,N40,6.0,600.0,0.0,0.0,0.0,0.0
N49,N48,12.0,1200.0,0.0,0.0,0.0,0.0
N49,T_7,99.0,9999.0,0.1042,0.0582,-0.046,44.12
N49,T_8,99.0,9999.0,0.0,0.0,0.0,0.0
N50,N38,6.0,600.0,0.0,0.0,0.0,0.0
N50,N52,6.0,600.0,0.0,0.0,0.0,0.0
N50,T_10,99.0,9999.0,0.0,0.0,0.0,0.0
N51,N52,6.0,600.0,0.0,0.0,0.0,0.0
N52,N37,8.0,800.0,0.0,0.0,0.0,0.0
N52,N50,6.0,600.0,0.0,0.0,0.0,0.0
N52,N51,6.0,600.0,0.0,0.0,0.0,0.0
N52,N53,8.0,800.0,0.0,0.0,0.0,0.0
N53,N52,8.0,800.0,0.0,0.0,0.0,0.0
N53,N54,8.0,800.0,0.0,0.0,0.0,0.0
N53,N57,6.0,600.0,0.0,0.0,0.0,0.0
N54,N53,8.0,800.0,0.0,0.0,0.0,0.0
N54,N55,8.0,800.0,0.0,0.0,0.0,0.0
N55,N54,8.0,800.0,0.0,0.0,0.0,0.0
N55,N58,8.0,800.0,0.0,0.0,0.0,0.0
N55,N56,6.0,600.0,0.0,0.0,0.0,0.0
N56,N55,6.0,600.0,0.0,0.0,0.0,0.0
N56,N57,6.0,600.0,0.0,0.0,0.0,0.0
N57,N35,6.0,600.0,0.0,0.0,0.0,0.0
N57,N56,6.0,600.0,0.0,0.0,0.0,0.0
N57,N53,6.0,600.0,0.0,0.0,0.0,0.0
N58,N34,6.0,600.0,0.0,0.0,0.0,0.0
N58,N55,8.0,800.0,0.0,0.0,0.0,0.0
N58,N59,8.0,800.0,0.0,0.0,0.0,0.0
N59,N58,8.0,800.0,0.0,0.0,0.0,0.0
N59,N61,8.0,800.0,0.0,0.0,0.0,0.0
N59,N62,6.0,600.0,0.0,0.0,0.0,0.0
N60,N33,8.0,800.0,0.0,0.0,0.0,0.0
N60,N61,8.0,800.0,0.0891,0.1841,0.095,-106.59
N61,N33,8.0,800.0,0.0,0.0,0.0,0.0
N61,N59,8.0,800.0,0.0,0.0,0.0,0.0
N61,N60,8.0,800.0,0.0,0.0,0.0,0.0
N61,N62,6.0,600.0,0.0,0.0,0.0,0.0
N61,GYGY,99.0,9999.0,0.0295,0.0295,0.0,-0.0
N62,N59,6.0,600.0,0.0,0.0,0.0,0.0
N62,N61,6.0,600.0,0.0,0.0,0.0,0.0
N62,GYGY,99.0,9999.0,0.0,0.0,0.0,0.0
N63,N30,6.0,600.0,0.0,0.0,0.0,0.0
N63,N64,6.0,600.0,0.0,0.0,0.0,0.0
N64,N63,6.0,600.0,0.0,0.0,0.0,0.0
SYJ,N13,99.0,9999.0,0.0,0.0,0.0,0.0
TYGY,N3,99.0,9999.0,0.0,0.0,0.0,0.0
TYGY,N4,99.0,9999.0,0.0,0.0,0.0,0.0
TYGY,N7,99.0,9999.0,0.0,0.0058,0.0058,0.0
TYST,N14,99.0,9999.0,0.0,0.0,0.0,0.0
XYST,N30,99.0,9999.0,0.037,0.0306,-0.0064,17.39
XYST,N12,99.0,9999.0,0.1591,0.1284,-0.0307,19.27
XYST,N28,99.0,9999.0,0.0215,0.0135,-0.008,37.33
XYST,N29,99.0,9999.0,0.0099,0.0085,-0.0014,14.12
XYGY,N13,99.0,9999.0,0.1273,0.1273,0.0,-0.01
XYGY,N12,99.0,9999.0,0.0,0.0,0.0,0.0
GYST,N28,99.0,9999.0,0.0757,0.0664,-0.0093,12.27
GYST,N29,99.0,9999.0,0.0495,0.0588,0.0093,-18.81
GYST,N31,99.0,9999.0,0.0195,0.0192,-0.0003,1.68
GYST,N32,99.0,9999.0,0.0,0.0,0.0,0.0
CYGY,N28,99.0,9999.0,0.0,0.0,0.0,0.0
GYGY,N61,99.0,9999.0,0.0,0.0,0.0,0.0
GYGY,N62,99.0,9999.0,0.0,0.0,0.0,0.0
T_16,N15,99.0,9999.0,0.0565,0.0639,0.0074,-13.14
T_16,N16,99.0,9999.0,0.0982,0.0453,-0.0529,53.89
T_25,N48,99.0,9999.0,0.0674,0.0205,-0.0469,69.64
T_25,N39,99.0,9999.0,0.0,0.0374,0.0374,0.0
T_25,N38,99.0,9999.0,0.0,0.0012,0.0012,0.0
T_1,N25,99.0,9999.0,0.0244,0.0167,-0.0077,31.44
T_1,N24,99.0,9999.0,0.0,0.0,0.0,0.0
T_1,N22,99.0,9999.0,0.0,0.0,0.0,0.0
T_1,N18,99.0,9999.0,0.0,0.0133,0.0133,0.0
T_1,N20,99.0,9999.0,0.0,0.0,0.0,0.0
T_2,N14,99.0,9999.0,0.07,0.0675,-0.0025,3.52
T_2,N15,99.0,9999.0,0.0569,0.0306,-0.0263,46.29
T_2,N6,99.0,9999.0,0.0,0.0,0.0,0.0
T_2,N27,99.0,9999.0,0.0,0.0027,0.0027,0.0
T_3,N3,99.0,9999.0,0.0039,0.0098,0.0059,-150.37
T_3,N4,99.0,9999.0,0.003,0.003,-0.0,1.0
T_3,N5,99.0,9999.0,0.0149,0.009,-0.0059,39.47
T_3,N2,99.0,9999.0,0.0,0.0,0.0,0.0
T_4,N4,99.0,9999.0,0.0046,0.0389,0.0343,-745.7
T_4,N14,99.0,9999.0,0.0162,0.0162,-0.0,0.24
T_5,N16,99.0,9999.0,0.0188,0.0188,-0.0,0.04
T_6,N44,99.0,9999.0,0.0206,0.0394,0.0188,-91.22
T_6,N45,99.0,9999.0,0.0,0.0019,0.0019,0.0
T_7,N42,99.0,9999.0,0.0,0.0,0.0,0.0
T_7,N43,99.0,9999.0,0.0,0.0,0.0,0.0
T_7,N32,99.0,9999.0,0.1489,0.1389,-0.01,6.7
T_7,N46,99.0,9999.0,0.0,0.0067,0.0067,0.0
T_7,N49,99.0,9999.0,0.0,0.0,0.0,0.0
T_8,N42,99.0,9999.0,0.0245,0.0488,0.0243,-99.31
T_8,N41,99.0,9999.0,0.0,0.0,0.0,0.0
T_8,N49,99.0,9999.0,0.0,0.0131,0.0131,0.0
T_8,N40,99.0,9999.0,0.0,0.0,0.0,0.0
T_9,N47,99.0,9999.0,0.0,0.0216,0.0216,0.0
T_9,N37,99.0,9999.0,0.0,0.0,0.0,0.0
T_9,N38,99.0,9999.0,0.0,0.0,0.0,0.0
T_9,N48,99.0,9999.0,0.0368,0.0247,-0.0121,32.95
T_10,N38,99.0,9999.0,0.027,0.027,-0.0,0.14
T_10,N50,99.0,9999.0,0.0,0.0,0.0,0.0
