u,v,width,capacity,baseline_vc,optimized_vc,delta_vc,reduction_pct
N26,N27,8.0,800.0,0.2476,0.2443,-0.0033,1.31
N27,N15,8.0,800.0,0.0,0.0,0.0,0.0
N27,N24,6.0,600.0,0.0,0.0,0.0,0.0
N27,N26,8.0,800.0,0.0,0.0,0.0,0.0
N27,T_2,99.0,9999.0,0.0198,0.0217,0.0019,-9.38
N28,N12,8.0,800.0,0.0,0.0,0.0,0.0
N28,N29,8.0,800.0,0.0,0.0,0.0,0.0
N28,N31,12.0,1200.0,0.0,0.0,0.0,0.0
N28,N44,6.0,600.0,0.0,0.0,0.0,0.0
N28,XYST,99.0,9999.0,0.0605,0.0402,-0.0203,33.48
N28,GYST,99.0,9999.0,0.0064,0.0008,-0.0056,87.58
N28,CYGY,99.0,9999.0,0.0381,0.0381,0.0,-0.11
N29,N28,8.0,800.0,0.0,0.0222,0.0222,0.0
N29,N30,6.0,600.0,0.0,0.0,0.0,0.0
N29,N43,8.0,800.0,0.0,0.0,0.0,0.0
N29,N44,6.0,600.0,0.0,0.0,0.0,0.0
N29,XYST,99.0,9999.0,0.0429,0.0597,0.0168,-39.21
N29,GYST,99.0,9999.0,0.0063,0.012,0.0057,-90.25
N30,N16,8.0,800.0,0.6353,0.4138,-0.2215,34.86
N30,N29,6.0,600.0,0.0,0.0,0.0,0.0
N30,N12,12.0,1200.0,0.0,0.0,0.0,0.0
N30,N63,6.0,600.0,0.0,0.0,0.0,0.0
N30,XYST,99.0,9999.0,0.0499,0.0375,-0.0124,24.86
N31,N28,12.0,1200.0,0.0,0.0,0.0,0.0
N31,N32,6.0,600.0,0.0,0.0,0.0,0.0
N31,N33,12.0,1200.0,0.3146,0.1323,-0.1823,57.94
N31,GYST,99.0,9999.0,0.0,0.0,0.0,0.0
N32,N31,6.0,600.0,0.4163,0.0516,-0.3647,87.6
N32,N43,8.0,800.0,0.0,0.0,0.0,0.0
N32,N46,8.0,800.0,0.0,0.0,0.0,0.0
N32,GYST,99.0,9999.0,0.1123,0.1123,0.0,-0.03
N32,T_7,99.0,9999.0,0.0,0.0,0.0,0.0
N33,N31,12.0,1200.0,0.0,0.0,0.0,0.0
N33,N34,12.0,1200.0,0.0,0.0,0.0,0.0
N33,N46,12.0,1200.0,0.0,0.0,0.0,0.0
N33,N61,8.0,800.0,0.3195,0.2361,-0.0834,26.09
N33,N60,8.0,800.0,0.1524,0.2358,0.0834,-54.72
N34,N33,12.0,1200.0,0.0,0.0,0.0,0.0
N34,N35,12.0,1200.0,0.0,0.0,0.0,0.0
N34,N58,6.0,600.0,0.0,0.0,0.0,0.0
N35,N34,12.0,1200.0,0.0,0.0,0.0,0.0
N35,N37,12.0,1200.0,0.0,0.0,0.0,0.0
N35,N57,6.0,600.0,0.0,0.0,0.0,0.0
N35,N36,6.0,600.0,0.0,0.0,0.0,0.0
N36,N35,6.0,600.0,0.0,0.0,0.0,0.0
N36,N37,6.0,600.0,0.0,0.0,0.0,0.0
N36,N38,6.0,600.0,0.0,0.0,0.0,0.0
N37,N35,12.0,1200.0,0.0,0.0,0.0,0.0
N37,N36,6.0,600.0,0.0,0.0,0.0,0.0
N37,N38,8.0,800.0,0.0,0.0,0.0,0.0
N37,N47,12.0,1200.0,0.0,0.0,0.0,0.0
N37,N52,8.0,800.0,0.0,0.0,0.0,0.0
N37,T_9,99.0,9999.0,0.0,0.0,0.0,0.0
N38,N36,6.0,600.0,0.0,0.0,0.0,0.0
N38,N37,8.0,800.0,0.0,0.0,0.0,0.0
N38,N48,6.0,600.0,0.0,0.0,0.0,0.0
N38,N39,8.0,800.0,0.0,0.0,0.0,0.0
N38,N50,6.0,600.0,0.0,0.0,0.0,0.0
N38,T_25,99.0,9999.0,0.0175,0.0079,-0.0096,54.82
N38,T_9,99.0,9999.0,0.0083,0.0194,0.0111,-133.7
