u,v,length,width,capacity,flow_pcu,flow_p,flow_b,flow_c,V/C,LOS
N20,N19,77.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,N18,130.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N20,N21,186.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N21,N20,186.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N21,N22,46.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N21,46.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N24,100.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N23,93.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N22,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N23,N17,97.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N23,N22,93.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N24,N22,100.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N24,N17,89.1,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N24,N25,23.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N24,N27,66.9,6.0,600.0,21.08,47.27,31.69,6.84,0.0351,A
N24,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N25,N18,196.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N25,N24,23.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N25,N26,34.8,8.0,800.0,195.48,475.54,303.87,56.76,0.2443,A
N25,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N26,N6,113.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N26,N25,34.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N26,N27,25.0,8.0,800.0,195.48,475.54,303.87,56.76,0.2443,A
N27,N15,184.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N27,N24,66.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N27,N26,25.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N27,T_2,50.0,99.0,9999.0,216.55,522.81,335.56,63.6,0.0217,A
N28,N12,291.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N28,N29,95.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N28,N31,283.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N28,N44,210.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N28,XYST,50.0,99.0,9999.0,402.41,530.71,759.27,121.55,0.0402,A
N28,GYST,50.0,99.0,9999.0,7.95,7.18,12.05,3.61,0.0008,A
N28,CYGY,50.0,99.0,9999.0,381.37,1204.93,526.27,103.0,0.0381,A
N29,N28,95.6,8.0,800.0,17.78,64.31,22.97,4.46,0.0222,A
N29,N30,279.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N29,N43,212.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N29,N44,115.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N29,XYST,50.0,99.0,9999.0,597.13,1086.17,971.46,197.08,0.0597,A
N29,GYST,50.0,99.0,9999.0,119.85,141.91,222.24,38.98,0.012,A
N30,N16,85.2,8.0,800.0,331.07,393.93,606.99,109.58,0.4138,B
N30,N29,279.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N30,N12,140.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N30,N63,140.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N30,XYST,50.0,99.0,9999.0,374.93,1051.12,550.08,104.79,0.0375,A
N31,N28,283.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N31,N32,71.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N31,N33,135.1,12.0,1200.0,158.77,202.02,286.74,52.54,0.1323,A
N31,GYST,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N32,N31,71.1,6.0,600.0,30.98,52.93,52.45,9.95,0.0516,A
N32,N43,75.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N32,N46,133.7,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N32,GYST,50.0,99.0,9999.0,1123.24,2035.56,1894.29,351.39,0.1123,A
N32,T_7,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N33,N31,135.1,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N33,N34,115.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N33,N46,206.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N33,N61,109.2,8.0,800.0,188.91,275.82,343.47,58.29,0.2361,A
N33,N60,32.7,8.0,800.0,188.63,227.08,334.49,65.58,0.2358,A
N34,N33,115.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N34,N35,300.3,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N34,N58,232.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N35,N34,300.3,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N35,N37,151.5,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N35,N57,98.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N35,N36,126.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N36,N35,126.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N36,N37,25.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N36,N38,137.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N37,N35,151.5,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N37,N36,25.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N37,N38,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N37,N47,202.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N37,N52,210.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N37,T_9,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N38,N36,137.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N38,N37,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N38,N48,200.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N38,N39,270.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N38,N50,207.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N38,T_25,50.0,99.0,9999.0,79.05,90.75,132.47,30.23,0.0079,A
N38,T_9,50.0,99.0,9999.0,193.95,227.74,368.03,60.77,0.0194,A
N38,T_10,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N39,N38,270.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N39,N40,65.1,6.0,600.0,221.86,310.83,394.81,72.33,0.3698,B
N39,N41,146.0,8.0,800.0,117.43,171.96,198.96,40.54,0.1468,A
N39,N48,160.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N39,T_25,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N40,N39,65.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N40,N41,80.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N40,N49,157.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N40,T_8,50.0,99.0,9999.0,221.86,310.83,394.81,72.33,0.0222,A
N41,N39,146.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N41,N40,80.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N41,N42,226.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N41,N45,390.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N41,T_8,50.0,99.0,9999.0,117.43,171.96,198.96,40.54,0.0117,A
N42,N41,226.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N42,N43,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N42,N44,219.9,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N42,N49,214.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N42,T_7,50.0,99.0,9999.0,452.92,784.69,763.49,145.4,0.0453,A
N42,T_8,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N43,N42,112.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N43,N29,212.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N43,N32,75.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N43,T_7,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N44,N28,210.5,6.0,600.0,16.22,49.64,22.22,4.59,0.027,A
N44,N42,219.9,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N44,N29,115.0,6.0,600.0,162.74,402.6,251.03,47.17,0.2712,A
N44,N45,179.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N44,T_6,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N45,N18,278.2,8.0,800.0,34.5,41.0,62.28,11.71,0.0431,A
N45,N41,390.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N45,N44,179.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N45,T_6,50.0,99.0,9999.0,9.76,11.25,17.68,3.33,0.001,A
N46,N33,206.8,12.0,1200.0,218.78,300.88,391.22,71.32,0.1823,A
N46,N32,133.7,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N46,N47,240.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N46,N49,124.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N46,T_7,50.0,99.0,9999.0,115.41,156.33,210.04,36.77,0.0115,A
N47,N37,202.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N47,N46,240.0,12.0,1200.0,194.0,248.02,354.12,62.96,0.1617,A
N47,N48,122.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N47,T_9,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N48,N38,200.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N48,N39,160.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N48,N47,122.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N48,N49,112.4,12.0,1200.0,445.47,650.67,791.98,142.81,0.3712,B
N48,T_25,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N48,T_9,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N49,N42,214.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N49,N46,124.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N49,N40,157.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N49,N48,112.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N49,T_7,50.0,99.0,9999.0,538.51,820.87,948.61,171.84,0.0539,A
N49,T_8,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N50,N38,207.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N50,N52,107.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N50,T_10,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N51,N52,130.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N52,N37,210.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N52,N50,107.4,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N52,N51,130.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N52,N53,296.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N53,N52,296.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N53,N54,232.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N53,N57,192.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N54,N53,232.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N54,N55,198.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N55,N54,198.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N55,N58,263.3,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N55,N56,74.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N56,N55,74.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N56,N57,235.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N57,N35,98.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N57,N56,235.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N57,N53,192.7,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N58,N34,232.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N58,N55,263.3,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N58,N59,88.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
