period,source,target,rank,distance_m,time_s,generalized_cost,allocation_pct,flow_person,path
evening,T_16,CYGY,1,265,63.6,25.542,48.4,140,T_16 → N16 → N30 → XYST → N28 → CYGY
evening,T_16,CYGY,2,361,86.5,34.768,26.1,76,T_16 → N16 → N30 → XYST → N29 → N28 → CYGY
evening,T_16,CYGY,3,365,87.6,35.160,25.5,74,T_16 → N16 → N30 → XYST → N29 → GYST → N28 → CYGY
evening,T_16,GYGY,1,610,146.2,58.705,33.4,161,T_16 → N16 → N30 → XYST → N28 → GYST → N31 → N33 → N61 → GYGY
evening,T_16,GYGY,2,610,146.2,58.705,33.4,161,T_16 → N16 → N30 → XYST → N29 → GYST → N31 → N33 → N61 → GYGY
evening,T_16,GYGY,3,610,146.2,58.752,33.3,161,T_16 → N16 → N30 → XYST → N28 → GYST → N31 → N33 → N60 → N61 → GYGY
evening,T_25,TYGY,1,831,199.2,79.998,33.4,279,T_25 → N48 → N49 → T_7 → N32 → GYST → N28 → XYST → N30 → N16 → T_16 → N15 → T_2 → N14 → N4 → TYGY
evening,T_25,TYGY,2,831,199.2,79.998,33.4,279,T_25 → N48 → N49 → T_7 → N32 → GYST → N29 → XYST → N30 → N16 → T_16 → N15 → T_2 → N14 → N4 → TYGY
evening,T_25,TYGY,3,834,200.1,80.373,33.1,277,T_25 → N48 → N49 → T_7 → N32 → GYST → N28 → XYST → N30 → N16 → T_16 → N15 → N14 → N4 → TYGY
evening,T_25,XYGY,1,512,122.9,49.303,35.4,159,T_25 → N48 → N49 → T_7 → N32 → GYST → N28 → XYST → N12 → XYGY
evening,T_25,XYGY,2,512,122.9,49.303,35.4,159,T_25 → N48 → N49 → T_7 → N32 → GYST → N29 → XYST → N12 → XYGY
evening,T_25,XYGY,3,565,135.5,54.400,29.1,131,T_25 → N39 → N40 → T_8 → N42 → T_7 → N32 → GYST → N28 → XYST → N12 → XYGY
evening,T_25,CYGY,1,412,98.9,39.684,38.9,75,T_25 → N48 → N49 → T_7 → N32 → GYST → N28 → CYGY
evening,T_25,CYGY,2,465,111.5,44.781,30.5,59,T_25 → N39 → N40 → T_8 → N42 → T_7 → N32 → GYST → N28 → CYGY
evening,T_25,CYGY,3,465,111.5,44.781,30.5,59,T_25 → N39 → N40 → T_8 → N49 → T_7 → N32 → GYST → N28 → CYGY
evening,T_25,GYGY,1,628,150.6,60.496,33.4,107,T_25 → N48 → N49 → T_7 → N32 → N31 → N33 → N61 → GYGY
evening,T_25,GYGY,2,628,150.6,60.543,33.3,107,T_25 → N48 → N49 → T_7 → N32 → N31 → N33 → N60 → N61 → GYGY
evening,T_25,GYGY,3,628,150.7,60.503,33.3,107,T_25 → N48 → N49 → T_7 → N46 → N33 → N61 → GYGY
