node_id,node_type,zone_id,zone_name,zone_type,demand_morning_total,demand_morning_ebike,demand_noon_total,demand_noon_ebike,demand_evening_total,demand_evening_ebike,vc_max_morning,risk_max_morning,vc_max_noon,risk_max_noon,vc_max_evening,risk_max_evening,N_opt,rho,status
N58,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N59,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N60,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.291,15318.1,0.0891,1442.7,0.1524,4315.9,0,0.0,
N61,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4506,132623.3,0.2796,32937.4,0.3195,55182.4,0,0.0,
N62,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N63,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N64,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
SYJ,商业街,Z8,商业街,商业区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273,794372.5,0.0,0.0,823,2.553,超载
TYGY,宿舍,Z3,桃园生活区,生活区,5265.0,2053.35,0.0,0.0,0.0,0.0,0.1216,756869.9,0.0587,181562.6,0.1255,901007.9,1888,1.105,超载
TYST,食堂,Z3,桃园生活区,生活区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,32963.3,0.0,0.0,1888,1.105,超载
XYST,食堂,Z4,杏园生活区,生活区,0.0,0.0,0.0,0.0,0.0,0.0,0.0774,321990.2,0.1591,1290576.9,0.0808,359864.9,1248,1.002,超载
XYGY,宿舍,Z4,杏园生活区,生活区,2835.0,992.25,0.0,0.0,0.0,0.0,0.0652,239888.8,0.1591,1290576.9,0.0808,359864.9,1248,1.002,超载
GYST,食堂,Z5,桂苑生活区,生活区,0.0,0.0,0.0,0.0,0.0,0.0,0.1036,450843.0,0.1389,879238.8,0.1123,588902.6,1374,0.493,容量充足
CYGY,宿舍,Z5,桂苑生活区,生活区,1215.0,352.35,0.0,0.0,0.0,0.0,0.0254,40205.8,0.0126,9900.4,0.0381,91097.2,1374,0.493,容量充足
GYGY,宿舍,Z5,桂苑生活区,生活区,2025.0,1073.25,0.0,0.0,0.0,0.0,0.0593,132623.3,0.0295,32937.4,0.0378,55182.4,1374,0.493,容量充足
T_16,教学楼,Z1,16幢教学区,教学区,0.0,0.0,2790.0,759.4453610631969,2580.0,688.7670456257254,0.1011,478651.3,0.0982,539546.7,0.0864,386147.9,308,2.235,超载
T_25,教学楼,Z2,25幢教学区,教学区,0.0,0.0,1860.0,899.1437700866393,1720.0,844.5827736452165,0.0574,125826.9,0.0674,188432.6,0.0655,172120.6,377,2.077,超载
T_1,教学楼,Z6,东区新教学楼,教学区,0.0,0.0,930.0,410.19977521956514,859.9999999999999,301.69600801625427,0.019,18051.4,0.0244,27772.6,0.0198,22096.6,1508,0.206,容量充足
T_2,教学楼,Z6,东区新教学楼,教学区,0.0,0.0,930.0,258.51643208792655,860.0,224.44527064327923,0.1148,657970.3,0.07,262340.5,0.1102,676122.3,1508,0.206,容量充足
T_3,教学楼,Z6,东区新教学楼,教学区,0.0,0.0,930.0,335.7970547745651,859.9999999999999,218.74551431608472,0.0093,4895.7,0.0149,10611.7,0.0155,15703.1,1508,0.206,容量充足
T_4,教学楼,Z6,东区新教学楼,教学区,0.0,0.0,930.0,307.8654896729178,860.0,219.06940487485332,0.0467,115653.5,0.0162,14496.2,0.0504,150808.9,1508,0.206,容量充足
T_5,教学楼,Z6,东区新教学楼,教学区,0.0,0.0,930.0,251.25808812696096,859.9999999999998,233.02543917214996,0.0162,15948.2,0.0188,22640.2,0.0174,19392.9,1508,0.206,容量充足
T_6,教学楼,Z7,西区新教学楼,教学区,0.0,0.0,929.9999999999999,302.25905570668726,860.0,317.86107095862843,0.0198,18366.1,0.0206,24967.6,0.0204,22563.5,1888,0.22,容量充足
T_7,教学楼,Z7,西区新教学楼,教学区,0.0,0.0,930.0,293.5119274036292,860.0,271.7528476690086,0.1175,577859.2,0.1489,1005077.2,0.1373,858842.9,1888,0.22,容量充足
T_8,教学楼,Z7,西区新教学楼,教学区,0.0,0.0,930.0,414.12251157913823,860.0,326.34110073681745,0.0198,18366.1,0.0245,27820.3,0.0207,22782.6,1888,0.22,容量充足
T_9,教学楼,Z7,西区新教学楼,教学区,0.0,0.0,930.0,449.57188504331964,860.0,422.2913868226083,0.0307,35866.7,0.0368,55870.7,0.0324,42034.0,1888,0.22,容量充足
T_10,教学楼,Z7,西区新教学楼,教学区,0.0,0.0,930.0,484.61410888320756,860.0,473.0,0.0227,18360.6,0.027,28028.9,0.0258,23759.6,1888,0.22,容量充足
